,신문사url,기사타이틀,기사url,요약기사
24,http://www.mbn.co.kr/,[뉴스추적] 대장동 전담수사팀 불협화음?…'부실 압수수색' 뒷말도,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001614554,"대장동 의혹 핵심 인물인 남욱 변호사가 모레(18일) 귀국하는 것으로 전해지면서, 검찰 수사도 전환점을 맞을 전망입니다. 사회부 임성재 기자와 함께 검찰 안팎 이야기 나눠보겠습니다. 임 기자, 서울중앙지검 전담수사팀..."
25,http://joongang.joins.com/,"""패혈증 클린턴, 빠르게 회복…본인 입원 뉴스도 챙겨본다""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=025&aid=0003142931,CNBC는 클린턴 전 대통령 측근의 말을 인용해 클린턴 전 대통령은 TV로 그의 입원 관련 뉴스 보도까지 챙겨보고 있다고 전했다. 배우자인 힐러리 클린턴 전 국무장관도 딸 첼시 클린턴과 함께 남편의 곁을 지키고 있다고...
26,http://joongang.joins.com/,"""명절수당 줬대"" 유튜브 가짜뉴스 믿는 엄빠…자식들의 반격",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003142904,"그거 가짜뉴스야! 제발 그만 봐!"" ""가짜뉴스 아니야~의사인 유튜버가 그러던데? 그리고 엄마 친구들 카톡방에서도 다 이 얘기해."" ""다른 사람들은 다 명절수당 받는다는데, 우리는 못 받나 보다. 말세야, 말세."" ""아빠..."
27,http://www.busan.com/,"[과기정통 뉴스] KCA, ‘2021 차세대미디어주간’ 행사 온라인 사전등록 外",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001123529,"‘2021 차세대미디어주간’ 포스터. KCA 제공 ◆KCA, ‘2021 차세대미디어주간’ 행사 온라인 사전등록 개시 과학기술정보통신부가 주최하고 한국방송통신전파진흥원(KCA)과 한국전파진흥협회가 주관하는 ‘2021..."
28,http://imnews.imbc.com/,"[엠빅뉴스] '학폭 논란' 이재영·이다영 출국 현장..""고개 숙이지 말고 걸어!""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=115&oid=214&aid=0001154255,"김경희 씨는 카메라를 피해 얼굴을 가린 딸들에게 ""고개를 들라""고 말하기도 했습니다. #이재영 #이다영 #쌍둥이 #여자배구 [엠빅뉴스]와 친구가 되어주세요! ▶페이스북 바로가기 ▶유튜브 바로가기 ▶1boon 바로가기"
29,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 11:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012726855,"관련 사정을 잘 아는 현지 소식통은 16일(현지시간) 연합뉴스에 ""오늘 저녁에 에이전트로부터 '손 선수가... 이재영·다영 자매는 출국 전 연합뉴스와의 전화 인터뷰에서 ""해외 진출이 결정됐지만, 마음이 무겁다..."
30,http://www.sedaily.com/,[포토뉴스] 남욱 변호사 긴급체포,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003974146,18일 새벽 인천국제공항 제2터미널에 입국한 남욱 변호사가 '대장동 개발사업 특혜·로바' 의혹을 수사 중인 서울중앙지검 전담수사팀(팀장 김태훈 4차장검사)에 긴급 체포되어 서울중앙지검으로 이송되고 있다....
31,http://www.mk.co.kr/,"[종합] '놀면 뭐하니' 오영수, 뉴스 특집 빛낸 아름다운 사람",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=009&aid=0004865654,오징어 게임의 주역 오영수가 뉴스 특집을 빛냈다. 16일 방송된 MBC 예능 프로그램 '놀면 뭐하니'에서는 기자로 변신한 유재석·정준하·하하·신봉선·이미주의 활약상이 그려졌다. 이날 '뉴스데스크+' 특집이 방송됐다....
32,http://tv.chosun.com/,[뉴스야?!] 특검 안 하나 못 하나?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=448&aid=0000341629,"뉴스야 시작합니다. 정치부 이채림 기자 나왔습니다. 첫번째 물음표 보죠. 첫번째 물음표는 ""특검 안 하나 못 하나?""입니다. 야당이 대장동 의혹과이재명 후보와의 관련성이나 실체를 밝히자면서 연일 특검을 주장하고..."
33,http://sports.chosun.com/,화순전남대병원 2년 연속 뉴스위크 '월드 베스트 암 병원' 선정,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=076&aid=0003790094,화순전남대학교병원이 뉴스위크가 선정한 '암 치료 잘하는 세계 최고 병원'으로 꼽혔다. 17일 화순전남대병원에 따르면 미국 시사주간지 뉴스위크는 최근 '2022 임상 분야별 세계 최고 병원(world's best hospitals)'을 선정...
