,작품명,관람등급,방송사,방영시작일,방영종료일,방영일/시간,소개
32,어쩌다 가족,15세이상,TV조선, 2021.03.21. ~ 2021.06.06. 12부작 , 2021.03.21. ~ 2021.06.06. 12부작 ,,공항 근처에서 하숙집을 운영하는 성동일-진희경 부부와 에어포유 항공사에 근무하는 다양한 직종의 사람들이 ‘하숙’으로 연을 맺은 색다른 가족 구성의 예능드라마.
33,,,,,,,
34,모범택시,완결,SBS, 2021.04.09. ~ 2021.05.29. 16부작 , 2021.04.09. ~ 2021.05.29. 16부작 ,,"“정의가 실종된 사회, 전화 한 통이면 오케이” 베일에 가려진 택시회사 무지개 운수와 택시기사 김도기가 억울한 피해자를 대신해 복수를 완성하는 사적 복수 대행극"
35,목표가 생겼다,15세이상,MBC, 2021.05.19. ~ 2021.05.27. 4부작 , 2021.05.19. ~ 2021.05.27. 4부작 ,,자신의 삶을 불행하게 만든 사람들에게 복수하기 위해 '행복 망치기 프로젝트'를 계획한 19세 소녀 소현(김환희 분)의 발칙하고 은밀한 작전을 담은 드라마. 2020년 MBC 극본공모전 당선작
36,마우스,15세이상,tvN, 2021.03.03. ~ 2021.05.19. 20부작 , 2021.03.03. ~ 2021.05.19. 20부작 ,,"자타 공인 바른 청년이자 동네 순경인 정바름과 어린 시절 살인마에게 부모를 잃고 복수를 향해 달려온 무법 형사 고무치가 사이코패스 중 상위 1퍼센트로 불리는 가장 악랄한 프레데터와 대치 끝, 운명이 송두리째 뒤바뀌는 모습을 그려낸 본격 인간 헌터 추적극"
37,오! 주인님,15세이상,MBC, 2021.03.24. ~ 2021.05.13. 16부작 , 2021.03.24. ~ 2021.05.13. 16부작 ,,연애를 '안' 하는 남자와 연애를 '못' 하는 여자의 심장밀착 반전 로맨스
38,드라마월드,15세이상,라이프타임채널, 2021.04.02. ~ 2021.05.08. 13부작 , 2021.04.02. ~ 2021.05.08. 13부작 ,,한국 드라마 팬인 백인 소녀가 한국 드라마 속 세계로 빨려 들어간다. 드라마월드 속에 갇혀서 해피엔딩 결말을 못 보면 현실로 돌아올 수 없게 된 한국 드라마 덕후 클레어. 드라마월드를 구성하는 조력자들과 함께 드라마월드 속 주인공들의 해피엔딩을 완성해야 한다!
39,빈센조,15세이상,tvN, 2021.02.20. ~ 2021.05.02. 20부작 , 2021.02.20. ~ 2021.05.02. 20부작 ,,조직의 배신으로 한국으로 오게 된 이탈리아 마피아 변호사가 베테랑 독종 변호사와 함께 악당의 방식으로 악당을 쓸어버리는 이야기
40,나빌레라,15세이상,tvN, 2021.03.22. ~ 2021.04.27. 12부작 , 2021.03.22. ~ 2021.04.27. 12부작 ,,나이 일흔에 발레를 시작한 덕출과 스물셋 꿈 앞에서 방황하는 발레리노 채록의 성장 드라마
41,,,,,,,
42,드라마 스테이지 2021 - 럭키,15세이상,tvN, 2021.04.21. ~ 2021.04.21. 1부작 , 2021.04.21. ~ 2021.04.21. 1부작 ,,현실과 이상 사이에서 힘들어하는 두 청춘 남녀 앞에 나타난 엠씨스터디 요정 지니가 그들의 소원을 들어주며 벌어지는 판타지 로코
43,달이 뜨는 강,15세이상,KBS2, 2021.02.15. ~ 2021.04.20. 20부작 , 2021.02.15. ~ 2021.04.20. 20부작 ,,고구려가 삶의 전부였던 공주 '평강' 사랑을 역사로 만든 장군 '온달' 운명에 굴하지 않은 그들의 순애보!
44,,12세이상,KBS1, 2021.04.19. ~ 2021.04.19. 1부작 , 2021.04.19. ~ 2021.04.19. 1부작 ,,"장애라는 편견의 벽을 넘어 진짜 친구가 되어 가는 과정을 통해 우리에게 필요한 진짜 친구, '나의 인생 친구'에 대한 의미를 되새겨 보는 장애 이해 드라마"
45,드라마 스테이지 2021 - 대리인간,15세이상,tvN, 2021.04.14. ~ 2021.04.14. 1부작 , 2021.04.14. ~ 2021.04.14. 1부작 ,,타인의 감정을 대신하는 대리 인간이 된 한 여자가 자신을 고용한 의뢰인의 삶을 살기로 선택하면서 벌어지는 서스펜스 심리극
46,괴물,15세이상,JTBC, 2021.02.19. ~ 2021.04.10. 16부작 , 2021.02.19. ~ 2021.04.10. 16부작 ,,‘괴물은 누구인가. 너인가. 나인가. 우리인가.’ 만양에서 펼쳐지는 괴물 같은 두 남자의 심리 추적 스릴러.
47,시지프스 : the myth,15세이상,JTBC, 2021.02.17. ~ 2021.04.08. 16부작 , 2021.02.17. ~ 2021.04.08. 16부작 ,,우리의 세상에 정체를 숨기고 살아가고 있는 존재를 밝혀내려는 천재공학자와 그를 위해 멀고도 위험한 길을 거슬러온 구원자의 여정을 그린 판타지 미스터리 드라마
48,안녕? 나야!,15세이상,KBS2, 2021.02.17. ~ 2021.04.08. 16부작 , 2021.02.17. ~ 2021.04.08. 16부작 ,,연애도 일도 꿈도 모두 뜨뜻미지근해진 37세 주인공이 세상 어떤 것도 두렵지 않았고 모든 일에 뜨거웠던 17세의 나를 만나 나를 위로해 주는 판타지 성장 로맨틱 코미디 드라마
